Context   tau          tok/s  prefill_toks
-------   --------  --------  ------------
2K        0.0            3.9  2099
2K        5e-5           3.8  2099
2K        1e-4           4.0  2099
2K        3e-4           3.9  2099
2K        1e-3           4.0  2099
4K        0.0            2.8  3887
4K        5e-5           2.5  3887
4K        1e-4           2.9  3887
4K        3e-4           2.9  3887
4K        1e-3           2.5  3887
8K        0.0            2.0  7761
8K        5e-5           2.1  7761
8K        1e-4           2.0  7761
8K        3e-4           1.9  7761
8K        1e-3           2.1  7761
